"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
669,"NCT04355143","Colchicine to Reduce Cardiac Injury in COVID-19 (COLHEART-19)","COLHEART-19","Recruiting","No Results Available","COVID-19","Drug: Colchicine Tablets|Other: Current care per UCLA treating physicians","Composite of all-cause mortality, need for mechanical ventilation, or need for mechanical circulatory support (MCS)|Delta (peak minus baseline) troponin level|Delta (baseline to peak) brain natriuretic peptide (BNP) level|Change in left ventricular ejection fraction (LVEF) on echocardiography|Delta (peak minus baseline) C-Reactive protein (CRP) inflammatory biomarker level|Delta (peak minus baseline) D-Dimer inflammatory biomarker level|Time (days) to primary endpoint|Number of participants requiring mechanical ventilation|Number of participants requiring mechanical circulatory support (MCS)|Re-hospitalization at 90 days|All-cause mortality","University of California, Los Angeles","All","18 Years and older   (Adult, Older Adult)","Phase 2","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","20-000685","May 1, 2020","April 25, 2021","April 25, 2021","April 21, 2020",,"May 21, 2020","UCLA Ronald Reagan Medical Center, Los Angeles, California, United States|UCLA Santa Monica Hospital, Santa Monica, California, United States",,"https://ClinicalTrials.gov/show/NCT04355143"
670,"NCT04363385","Collection of Biological Samples With Clinical Characterization of Covid-19 Patients",,"Recruiting","No Results Available","Covid-19","Biological: Biological test","Phenotype/genotype correlation research modulating the severity of Covid-19 disease|Phenotype/transcriptomic correlation research modulating the severity of Covid-19 disease|Phenotype/biomarker correlation research modulating the severity of Covid-19 disease|Development of clinical-biological scores in the severity of Covid-19 disease|Development of predictive imaging scores in the severity of Covid-19 disease|Identification of pathophysiological pathways to susceptibility to Covid-19 disease|Identification of genetic markers for treatment response|Identification of transcriptomic markers for treatment response|Identification of proteomic for treatment response","Centre Hospitalier Intercommunal Creteil","All","Child, Adult, Older Adult","Not Applicable","500","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","COVIGENET","May 15, 2020","December 15, 2020","December 15, 2020","April 27, 2020",,"June 16, 2020","Centre hospitalier intercommunal de Créteil, Créteil, France",,"https://ClinicalTrials.gov/show/NCT04363385"
671,"NCT04359459","Nasal Epithelial Genetic and Single Cell RNA COVID-19 Study","CIPOLLINI","Not yet recruiting","No Results Available","COVID-19",,"Nasal epithelial transcriptional response to SARS-CoV2|ACE2-AngII system","University Medical Center Groningen","All","18 Years and older   (Adult, Older Adult)",,"150","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CIPOLLINI","June 2020","June 2022","June 2022","April 24, 2020",,"April 27, 2020",,,"https://ClinicalTrials.gov/show/NCT04359459"
672,"NCT04394000","Impact of an Intensified Thromboprofylaxis Protocol in COVID-19",,"Completed","No Results Available","COVID19|Thromboembolism","Other: thromboprofylaxis protocol|Other: standard protocol","2 week mortality|incidence of venous thromboembolism|1 week mortality|3 week mortality|1 month mortality|incidence of kidney failure|incidence of continuous renal replacement therapy (CRRT)|lowest PaO2/FiO2 (P/F) ratio|highest Sequential Organ Failure Assessment (SOFA) score|length of stay|highest bilirubin|highest ( AST|highest Aspartaat-Amino-Transferase (ALT)","Jessa Hospital","All","18 Years and older   (Adult, Older Adult)",,"72","Other","Observational","Observational Model: Cohort|Time Perspective: Other","Jessa_20.48","May 4, 2020","May 15, 2020","May 15, 2020","May 19, 2020",,"May 19, 2020","Jessa hospital, Hasselt, Belgium",,"https://ClinicalTrials.gov/show/NCT04394000"
673,"NCT04351620","High-dose Hydroxychloroquine for the Treatment of Ambulatory Patients With Mild COVID-19",,"Recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine","Tolerability of high dose HCQ as measured by HCQ dose modification|Tolerability of high dose HCQ as measured by discontinuation of HCQ|Tolerability of High Dose HCQ as measured by Adverse Events|Rate of hospitalization due to COVID-19 as measured by number of patients hospitalized|Time to defervescence as measured in days while on treatment protocol|Resolution of other COVID-19 symptoms measured in days while on treatment protocol","University of Chicago","All","18 Years and older   (Adult, Older Adult)","Phase 1","20","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","IRB20-0572","April 2020","June 2020","June 2020","April 17, 2020",,"April 17, 2020","University of Chicago, Chicago, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04351620"
674,"NCT04372004","Comparison of the Efficacy of Rapid Tests to Identify COVID-19 Infection (CATCh COVID-19)","CATCH COVID-19","Not yet recruiting","No Results Available","COVID-19","Diagnostic Test: diagnostic tests for COVID-19 infection","Compare the efficacy of detection of viral infection using serology and viral-RNA detection kits|Define the temporal trend of antibodies in blood","Texas Cardiac Arrhythmia Research Foundation","All","18 Years to 85 Years   (Adult, Older Adult)","Not Applicable","100","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic","TCAI_CATCH COVID-19","May 2020","May 2021","June 2021","May 1, 2020",,"May 8, 2020",,,"https://ClinicalTrials.gov/show/NCT04372004"
675,"NCT04319315","Social Media Effect on Knowledge Dissemination During COVID-19 Virus Outbreak",,"Recruiting","No Results Available","COVID-19","Other: survey","Number of physicians affected by social media measured by online survey designed to measure the influence of social media on medical practice","Assiut University","All","25 Years to 65 Years   (Adult, Older Adult)",,"400","Other","Observational","Observational Model: Other|Time Perspective: Prospective","AssiutU-3-2020","March 11, 2020","April 1, 2020","April 16, 2020","March 24, 2020",,"April 7, 2020","Assiut University Hospitals, Assiut, Egypt",,"https://ClinicalTrials.gov/show/NCT04319315"
676,"NCT04360278","Plasma Collection From Convalescent and/or Immunized Donors for the Treatment of COVID-19",,"Recruiting","No Results Available","COVID-19",,"Collection of convalescent plasma","National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)",,"1500","NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","200092|20-CC-0092","April 21, 2020","April 14, 2030","April 14, 2030","April 24, 2020",,"June 11, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT04360278"
677,"NCT04384588","COVID19-Convalescent Plasma for Treating Patients With Active Symptomatic COVID 19 Infection (FALP-COVID)","FALP-COVID","Recruiting","No Results Available","COVID-19 Infection|Cancer Patients|General Population","Biological: Convalescent Plasma from COVID-19 donors","in-hospital mortality secondary to COVID-19 among patients treated with convalescent plasma|safety of the use of convalescent plasma drom COVID 19 donors|Mortality at 30 days, 90 days, 6 months and 1 year|in-hospital Mortality COVID-19 related compared with non-treated population according to Chilean official reports|Number of days of hospitalization in high complexity facilities after convalescent plasma use|Number of days of hospitalization in intensive care unit after convalescent plasma use|Number of days of mechanical ventilatory support in patients after convalescent plasma use|Total number of days of mechanical ventilatory support|Total number of hospitalization days in patients treated with convalescent plasma|Number of hospitalization days in patients after treatment with convalescent plasma|Viral load measuring|Immunological response in treated patients (COVID19-Immunoglobulin M and Immunoglobulin G, neutralizing antibodies)|Negativization of COVID 19 load since convalescent plasma use|Negativization of COVID 19 load since hospitalization|Negativization of COVID 19 load since first reported symptoms COVID-19 related|Donor Interferon Gamma profile characterization|Donor Granulocyte Macrophage Colony Stimulating Factor characterization|Donor Tumor Necrosis Factor Alfa characterization|Donor Interleukin -1 beta characterization|Donor Interleukin-2 characterization|Donor Interleukin-4 characterization|Donor Interleukin-6 characterization|Donor Interleukin-8 characterization|Donor Interleukin-10 characterization|Receptor Interferon Gamma profile characterization|Receptor Granulocyte Macrophage Colony Stimulating Factor characterization|receptor Tumor Necrosis Factor Alfa characterization|receptor Interleukin -1 beta characterization|Receptor Interleukin-2 characterization|Receptor Interleukin-4 characterization|Receptor Interleukin-6 characterization|Receptor Interleukin-8 characterization|Receptor Interleukin-10 characterization","Fundacion Arturo Lopez Perez|Confederación de la Producción y del Comercio (CPC)|Bolsa de Santiago","All","15 Years and older   (Child, Adult, Older Adult)","Phase 2|Phase 3","100","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","FALP 001-2020","April 7, 2020","April 6, 2021","April 6, 2021","May 12, 2020",,"May 12, 2020","Fundacion Arturo Lopez Perez, Providencia, Santiago, Chile",,"https://ClinicalTrials.gov/show/NCT04384588"
678,"NCT04363216","Pharmacologic Ascorbic Acid as an Activator of Lymphocyte Signaling for COVID-19 Treatment",,"Not yet recruiting","No Results Available","COVID-19","Drug: Ascorbic Acid","Clinical Improvement|Patient status upgraded to ICU level [Clinical decline]|Oxygen supplementation|Days with fever|Days to discharge|SAEs","Thomas Jefferson University","All","18 Years and older   (Adult, Older Adult)","Phase 2","66","Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","JT#15681","May 2020","May 2021","May 2021","April 27, 2020",,"May 5, 2020",,,"https://ClinicalTrials.gov/show/NCT04363216"
679,"NCT04373889","COVID-19 Among Healthcare Workers in Belgian Hospitals","COVHECBEHO","Recruiting","No Results Available","SARS-CoV-2|COVID-19",,"Change of prevalence of COVID-19 infection among Belgian active hospital healthcare workers (HCW)|Change of seroprevalence of SARS-CoV-2 among Belgian active hospital HCW|Change in new cases (incidence) of COVID-19 among Belgian hospital HCW|Change in SARS-CoV-2 seroconversion among Belgian hospital HCW|Sensitivity and specificity of serological tests|Sensitivity and specificity of saliva sampling method (sampling with Oracol or equivalent)|Validate the nasal swab against the standard|Potential risk factors for the infection|The proportion of asymptomatic cases among new cases that develop during a period of 5 months|The presence of virus shedding in urine, feces and sperm as well as cellular immune response","Sciensano|Institute of Tropical Medicine Antwerp","All","18 Years and older   (Adult, Older Adult)",,"800","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Sciensano","April 22, 2020","September 27, 2020","September 27, 2020","May 5, 2020",,"May 5, 2020","Sciensano, Brussels, Belgium",,"https://ClinicalTrials.gov/show/NCT04373889"
680,"NCT04433026","BNP, Serum Troponin and D-dimer as Risk Factors in Patients With COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Diagnostic Test: N terminal pro B type natriuretic peptide (NTproBNP), D-Dimer, and serum Tropinin - I","Measurement of N-terminal pro-B type natriuretic peptide, troponin-I and D-dimer in COVID-19 patients|Cardiac complications in COVID-19 patients associated with more adverse effects","Assiut University","All","Child, Adult, Older Adult",,"90","Other","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","Cardiac markers in COVID-19","July 1, 2020","July 1, 2021","September 1, 2021","June 16, 2020",,"June 17, 2020",,,"https://ClinicalTrials.gov/show/NCT04433026"
681,"NCT04339426","Atovaquone and Azithromycin Combination for Confirmed COVID-19 Infection",,"Recruiting","No Results Available","Covid19","Drug: Atovaquone/Azithromycin","Virology Cure Rate|Incidence of GI adverse events|Cardiac Toxicity","HonorHealth Research Institute","All","18 Years to 95 Years   (Adult, Older Adult)","Phase 2","25","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","HRI-COVID-19-Anti-Malarial-001","April 20, 2020","October 2020","April 2021","April 9, 2020",,"June 9, 2020","HonorHealth, Scottsdale, Arizona, United States",,"https://ClinicalTrials.gov/show/NCT04339426"
682,"NCT04403386","Prospective Natural History Study of Smoking, Immune Cell Profiles, Epigenetics and COVID-19",,"Recruiting","No Results Available","COVID-19",,"Levels of senescent CD16+CD8+ T cells prior to COVID-19 disease and time to COVID-19 disease morbidity (antibody positvity).","National Institute of Environmental Health Sciences (NIEHS)|National Institutes of Health Clinical Center (CC)","All","30 Years to 55 Years   (Adult)",,"200","NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","200108|20-E-0108","June 1, 2020","May 31, 2022","May 31, 2022","May 27, 2020",,"June 18, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States|NIEHS Clinical Research Unit (CRU), Research Triangle Park, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT04403386"
683,"NCT04375761","COVID-19: Human Epidemiology and Response to SARS-CoV-2","HEROS","Enrolling by invitation","No Results Available","Coronavirus Disease 2019 (COVID-19)|SARS-CoV-2","Procedure: Collection of Biological Samples|Procedure: Symptom and Exposure Surveys","Cumulative Incidence of SARS-CoV-2 RNA Detection in Nasal Samples Among Index Participants and Their Household Contacts Over the Study/Surveillance Period|Percent of Index Participants and Their Household Contacts with Detectable SARS-CoV-2-Specific Antibodies in Serum Over the Study/Surveillance Period|Cumulative Incidence of SARS-CoV-2 Detection in Nasal Samples Among Index Participants with Asthma and Other Atopic Disease Compared to Index Participants without Atopic Disease Over the Study/Surveillance Period|Percent of Index Participants with Asthma and Other Atopic Disease with Detectable SARS-CoV-2-Specific Antibodies in Serum Compared to Index Participants without Atopic Disease Over the Study/Surveillance Period|Changes in the Nasal Transcriptome Associated with Detection of SARS-CoV-2 in Nasal Samples Among Index Participants and Their Household Contacts Over the Study/Surveillance Period|Changes in the Nasal Transcriptome Associated with Detection of SARS-CoV-2 in Nasal Samples Among Index Participants with Asthma and Other Atopic Disease Compared to Index Participants without Atopic Disease Over the Study/Surveillance Period|Symptoms Associated with Detection of SARS-CoV-2 in Nasal Samples Among Index Participants and Their Household Contacts Over the Study/Surveillance Period|Cumulative Incidence of SARS-CoV-2 Detection in Nasal Samples Among Index Participants using Topical Steroids Compared to Index Participants that are Not Using Topical Steroids Over the Study/Surveillance Period|Cumulative Incidence of SARS-CoV-2 Detection in Nasal Samples Among Index Participants Using Topical, Oral, or Inhaled Steroids Compared to Index Participants that are Not Using Topical, Oral, or Inhaled Steroids During the Study/Surveillance Period|Analysis of Factors, Baseline and Prior History, for Possible Association with the Cumulative Incidence of SARS-COV-2 Detection in Nasal Samples: Index Participants and Their Household Contacts Over the Study/Surveillance Period","National Institute of Allergy and Infectious Diseases (NIAID)|Rho, Inc.","All","Child, Adult, Older Adult",,"8000","NIH|Industry","Observational","Observational Model: Family-Based|Time Perspective: Prospective","DAIT-COVID-19-001","May 1, 2020","December 2020","December 2020","May 5, 2020",,"June 25, 2020","Children's Hospital Colorado: Inner City Asthma Consortium (ICAC) Site, Aurora, Colorado, United States|Children's Hospital Colorado: Outcome Measures in Eosinophilic Gastrointestinal Disorders Across the Ages (OMEGA) Site, Aurora, Colorado, United States|Children's National Medical Center: Inner City Asthma Consortium (ICAC) Site, Washington, District of Columbia, United States|Ann & Robert H. Lurie Children's Hospital of Chicago: Food Allergy Outcomes Related to White and African American Racial Differences (FORWARD) and Improving Technology-Assisted Recording of Asthma Control in Children (iTRACC) Site, Chicago, Illinois, United States|Massachusetts General Hospital:Childhood Microbiome (CHIME) and Wheezing Index (WIND) Site, Boston, Massachusetts, United States|Boston Children's Hospital: School Inner-City Asthma Study (SICAS-2), Environmental Assessment of Sleep in Youth (EASY), Severe Asthma Research Program (SARP) and Preventing Asthma in High Risk Kids (PARK) Site, Boston, Massachusetts, United States|Boston Medical Center: Inner City Asthma Consortium (ICAC) Site, Boston, Massachusetts, United States|Henry Ford Health System: Childhood Allergy Study (CAS) Site, Detroit, Michigan, United States|Henry Ford Health System: Inner City Asthma Consortium (ICAC) Site, Detroit, Michigan, United States|Henry Ford Health System: Microbes, Asthma, Allergy and Pets (MAAP) and Wayne County Health, Environment, Allergy, and Asthma Longitudinal Study (WHEALS) Site, Detroit, Michigan, United States|St. Louis Children's Hospital: Inner City Asthma Consortium (ICAC) Site, Saint Louis, Missouri, United States|Columbia University Medical Center: Inner City Asthma Consortium (ICAC) Site, New York, New York, United States|Cincinnati Children's Hospital Medical Center: Greater Cincinnati Pediatric Clinic Repository (GCPCR) and Mechanisms of Progression of Atopic Dermatitis to Asthma in Children (MPAACH) Site, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center: Inner City Asthma Consortium (ICAC) Site, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center: Outcome Measures in Eosinophilic Gastrointestinal Disorders Across the Ages (OMEGA) Site, Cincinnati, Ohio, United States|Cincinnati Children's Hospital Medical Center:Cincinnati Childhood Allergy & Air Pollution Study (CCAAPS) Site, Cincinnati, Ohio, United States|Vanderbilt University Medical Center: Infant Susceptibility to Pulmonary Infections and Asthma Following RSV Exposure Study (INSPIRE) Site, Nashville, Tennessee, United States|University of Texas Southwestern Medical Center: Inner City Asthma Consortium (ICAC) Site, Dallas, Texas, United States|University of Wisconsin Hospital and Clinics: Childhood Origins of Asthma (COAST) Site, Madison, Wisconsin, United States|University of Wisconsin Hospital and Clinics: Wisconsin Infant Study Cohort (WISC) Site, Madison, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT04375761"
684,"NCT04368156","Study Assessing Vagus Nerve Stimulation in CoViD-19 Respiratory Symptoms","SAVIOR","Recruiting","No Results Available","Covid-19","Device: gammaCore® (Vagus nerve stimulation)","Need for mechanical ventilation|Supplemental oxygen requirements|Mortality|Delay onset of ventilation|Cytokine levels","Carlos Tornero|Hospital Clínico Universitario de Valencia","All","18 Years and older   (Adult, Older Adult)","Not Applicable","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","SAVIOR","April 20, 2020","July 31, 2020","July 31, 2020","April 29, 2020",,"April 29, 2020","Hospital Clínico Universitario de Valencia, Valencia, Spain",,"https://ClinicalTrials.gov/show/NCT04368156"
685,"NCT04412772","A RCT - Safety & Efficacy of Tocilizumab - Tx of Severe COVID-19: ARCHITECTS","ARCHITECTS","Recruiting","No Results Available","COVID-19","Drug: Tocilizumab|Drug: Placebo","Clinical status (on a 7-point ordinal scale) at day 28|Clinical improvement|Mechanical Ventilation|Oxygenation","Queen's Medical Centre","All","18 Years to 95 Years   (Adult, Older Adult)","Phase 3","300","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","RA-2020-019","June 1, 2020","December 31, 2021","December 31, 2021","June 2, 2020",,"June 2, 2020","Queen's Medical Center, Honolulu, Hawaii, United States",,"https://ClinicalTrials.gov/show/NCT04412772"
686,"NCT04334382","Hydroxychloroquine vs. Azithromycin for Outpatients in Utah With COVID-19","HyAzOUT","Recruiting","No Results Available","COVID-19","Drug: Hydroxychloroquine|Drug: Azithromycin","Hospitalization within 14 days of enrollment|Duration of COVID-19-attributable symptoms|Hospital-free days at 28 days|Ventilator-free days at 28 days|ICU-free days at 28 days","Intermountain Health Care, Inc.|University of Utah|Utah Department of Health","All","45 Years and older   (Adult, Older Adult)","Phase 3","1550","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1051360","April 2, 2020","December 31, 2020","December 31, 2021","April 6, 2020",,"April 9, 2020","Intermountain Medical Center, Murray, Utah, United States|University of Utah, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT04334382"
687,"NCT04424849","Thorax Computed Tomography Severity Score and Outcome in COVID-19 Patients",,"Recruiting","No Results Available","COVID-19","Diagnostic Test: CT-Scan","Invasive respiratory support in patients with COVID-19|Mortality in patients with COVID-19","Tepecik Training and Research Hospital","All","18 Years and older   (Adult, Older Adult)",,"40","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","2020/5-4","March 15, 2020","June 15, 2020","July 15, 2020","June 11, 2020",,"June 11, 2020","Tepecik Training and Research Hospital, Izmir, Izmir, Konak, Turkey",,"https://ClinicalTrials.gov/show/NCT04424849"
688,"NCT04345536","Prospective Quality Register of Patients With Confirmed Covid-19 at Oslo University Hospital","CovidRegOUH","Recruiting","No Results Available","COVID-19",,"Mortality|Severe disease","Oslo University Hospital","All","Child, Adult, Older Adult",,"400","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","CovidRegOUH","March 15, 2020","January 1, 2021","May 1, 2021","April 14, 2020",,"April 14, 2020","Oslo University Hospital, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT04345536"
689,"NCT04438057","Evaluating the Efficacy of Convalescent Plasma in Symptomatic Outpatients Infected With COVID-19",,"Not yet recruiting","No Results Available","COVID-19","Biological: CCP","Time to Resolution of Symptoms|SAEs within 24 hours of plasma infusion|Decrease in Inflammatory Markers|Hospitalization within 28 days","Metro Infectious Disease Consultants","All","18 Years and older   (Adult, Older Adult)","Phase 2","150","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","MIDC-CCP","July 6, 2020","July 6, 2021","July 6, 2021","June 18, 2020",,"June 22, 2020","Metro Infectious Disease Consultants, Burr Ridge, Illinois, United States",,"https://ClinicalTrials.gov/show/NCT04438057"
690,"NCT04380987","Luxembourg Cohort of Positive Patients for COVID-19: a Stratification Study to Predict Patient Prognosis","Predi-COVID","Recruiting","No Results Available","Covid19","Biological: Biological sampling","Description of clinical manifestations|Clinical aggravation of the infection|Discharge of hospitalization|Death|Description of biological manifestations|Patient-related prognostic factors|Virus-related prognostic factors|Vocal biomarker of Covid-19 related respiratory complications","Luxembourg Institute of Health|Centre Hospitalier du Luxembourg|Hopitaux Robert Schuman (Luxembourg)|Laboratoire National de Santé (Luxembourg)|University of Luxembourg","All","18 Years and older   (Adult, Older Adult)",,"200","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Predi-Covid","May 4, 2020","July 31, 2021","December 31, 2021","May 8, 2020",,"May 8, 2020","Luxembourg Institute of Health, Luxembourg, Luxembourg",,"https://ClinicalTrials.gov/show/NCT04380987"
691,"NCT04342182","Convalescent Plasma as Therapy for Covid-19 Severe SARS-CoV-2 Disease (CONCOVID Study)","ConCoVid-19","Recruiting","No Results Available","COVID-19","Biological: Convalescent plasma","Overall mortality until discharge from the hospital or a maximum of 60 days after admission whichever comes first|Impact of 300ml convP therapy on hospital days|Impact of 300ml convP on weaning from oxygen therapy|Impact of 300ml convP on overall mortality in patients admitted to the ICU within 24 hours after admission|Difference in the effect of convP on mortality in patients with a duration of symptoms less or more the median duration of symptoms in the study population|Impact of 300ml convP therapy on ICU days in patients admitted to the ICU within 24 hours after admission|Impact of plasma therapy on the decrease in SARS-CoV2 shedding from airways|Impact of CTL and NK cell immunity on the likelihood of being protected from immune serum transfer|Safety of convP therapy|Change of the 8-point WHO COVID19 disease severity scale on day 15|Change of the 8-point WHO COVID19 disease severity scale on day 30|Change of the 8-point WHO COVID19 disease severity scale on day 15 in the subgroup of patients with a baseline neutralizing antibody titer (PRNT50) <80.|Impact of plasma therapy on risk of long-term structural lung damage and lung function","Erasmus Medical Center|Sanquin Plasma Products BV","All","18 Years and older   (Adult, Older Adult)","Phase 2|Phase 3","426","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NL73489.078.20","April 8, 2020","July 1, 2020","July 1, 2020","April 10, 2020",,"May 18, 2020","Erasmus Medical Center, Rotterdam, Zuid-Holland, Netherlands|NoordWest Ziekenhuisgroep, Alkmaar, Netherlands|Onze Lieve Vrouwen Gasthuis, Amsterdam, Netherlands|Rijnstate Ziekenhuis, Arnhem, Netherlands|Reinier de Graaf Gasthuis, Delft, Netherlands|Haaglanden Medisch Centrum, Den Haag, Netherlands|Catharina Ziekenhuis, Eindhoven, Netherlands|Medisch Spectrum Twente, Enschede, Netherlands|Groene Hart Ziekenhuis, Gouda, Netherlands|Martini Hospital, Groningen, Netherlands|Spaarna Gasthuis, Haarlem, Netherlands|Alrijne Ziekenhuis, Leiderdorp, Netherlands|Sint Antonius Ziekenhuis, Nieuwegein, Netherlands|Canisius-Wilhelmina Hospital, Nijmegen, Netherlands|Maasstad Ziekenhuis, Rotterdam, Netherlands|ZorgSaam Hospital, Terneuzen, Netherlands|Bernhoven Hospital, Uden, Netherlands|VieCuri, Venlo, Netherlands",,"https://ClinicalTrials.gov/show/NCT04342182"
692,"NCT04343001","Coronavirus Response - Active Support for Hospitalised Covid-19 Patients","CRASH-19","Not yet recruiting","No Results Available","Covid-19","Drug: Aspirin|Drug: Losartan|Drug: Simvastatin","Death|Myocardial infarction|Congestive cardiac failure|Severe cardiac arrythmia|Myocarditis|Respiratory failure including ARDS|Viral pneumonitis|Acute renal failure|Sepsis|Stroke|Gastrointestinal bleeding|Receipt of non invasive or mechanical ventilation|Ability to self care at hospital discharge","London School of Hygiene and Tropical Medicine","All","40 Years and older   (Adult, Older Adult)","Phase 3","10000","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","2020-KEP-420","April 2020","April 2021","August 2021","April 13, 2020",,"April 20, 2020","University College Hospital, Ibadan, Oyo, Nigeria|Shifa Tameer-e-Millat University, Rawalpindi, Pakistan",,"https://ClinicalTrials.gov/show/NCT04343001"
693,"NCT04367662","Study of the Vascular Compartment and Hypercoagulability During Coronavirus Infection COVID-19","COVID'HEMOS","Completed","No Results Available","COVID-19","Procedure: blood sampling","Clinical worsening (yes/no) of the patient during hospitalization|D-DIMERS plasma levels in blood|Fibrin monomers plasma levels in blood|Antithrombin plasma levels in blood|Prothrombin Fragment 1 plasma levels in blood|Prothrombin Fragment 2 plasma levels in blood|Thrombin generation test plasma levels in blood|Microvesicles of platelet plasma levels in blood|Cross-linked platelets plasma levels in blood|Willebrand Factor plasma levels in blood|Factor VIII plasma levels in blood","University Hospital, Rouen","All","18 Years and older   (Adult, Older Adult)","Not Applicable","99","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other","2020/0104/OB","April 9, 2020","May 14, 2020","May 14, 2020","April 29, 2020",,"June 9, 2020","Rouen University Hospital, Rouen, France",,"https://ClinicalTrials.gov/show/NCT04367662"
694,"NCT04418245","CT Biomarkers Identification by Artificial Intelligence for COVID-19 Prognosis","COVID 19-IA","Active, not recruiting","No Results Available","Covid-19","Diagnostic Test: Imaging by thoracic scanner","Vital status|Patient requiring more than 3 liters of oxygen to maintain a saturation >95% (intensive care unit or resuscitation department)|Percentage of lung affected on CT|Percentage of lung affected by ground glass opacity on scan|Percentage of lung affected by condensation on scan|Length of hospitalization|rehospitalization|Duration of intubation|Software operating time|C-reactive protein levels|lactate dehydrogenase|lymphocytemia|D Dimers level|Time until onset of symptoms|Time between RT-PCR positive results and first scan|Age|BMI> 30|Medical history of cardiovascular disease|Diabetes|Medical history of respiratory disease|Medical history of immunosuppressed condition|Current or previous history of smoking|Calculate a prognostic score from clinical, biological and CT parameters|Calculate a prognostic score from clinical and biological parameters only|Compare receiver operating curves of prognostic scores with and without CT parameters","Centre Hospitalier Universitaire de Nīmes","All","Child, Adult, Older Adult",,"1000","Other","Observational","Observational Model: Case-Only|Time Perspective: Retrospective","NIMAO/2020/COVID 19-IA/JF-01","March 1, 2020","June 2020","July 2020","June 5, 2020",,"June 5, 2020","CHU la Timone, Marseille, France|CHU Montpellier, Montpellier, France|CHU de Nimes, Nîmes, France|CHU Poitiers, Poitiers, France|CHU Strasbourg, Strasbourg, France|CHU Martinique, Fort-de-France, Martinique",,"https://ClinicalTrials.gov/show/NCT04418245"
